coach_name,date_of_birth,role,nationality,image_url,age
Rudi Garcia,1964-02-20,Head Coach,France,https://img.a.transfermarkt.technology/portrait/medium/1537-1699865721.jpg?lm=1,52
Luciano Spalletti,1959-03-07,Head Coach,Italy,https://img.a.transfermarkt.technology/portrait/medium/517-1663926783.jpg?lm=1,57
Giovanni Bosi,1969-10-01,Head Coach,Italy,https://img.a.transfermarkt.technology/portrait/medium/29394-1455119576.jpg?lm=1,46
Stefano Pioli,1965-10-20,Head Coach,Italy,https://img.a.transfermarkt.technology/portrait/medium/2135-1663977168.jpg?lm=1,50
Delio Rossi,1960-01-26,Head Coach,Italy,https://img.a.transfermarkt.technology/portrait/medium/516-1682362071.jpg?lm=1,56
Marco Giampaolo,1967-08-02,Head Coach,Italy,https://img.a.transfermarkt.technology/portrait/medium/3257-1663929122.jpg?lm=1,48
Rolando Maran,1963-07-14,Head Coach,Italy,https://img.a.transfermarkt.technology/portrait/medium/3018-1491570269.jpg?lm=1,52
Massimiliano Allegri,1967-08-11,Head Coach,Italy,https://img.a.transfermarkt.technology/portrait/medium/7671-1663973141.jpg?lm=1,48
Stefano Colantuono,1962-10-23,Head Coach,Italy,https://img.a.transfermarkt.technology/portrait/medium/2127-1634565915.jpg?lm=1,53
Roberto Stellone,1977-07-22,Head Coach,Italy,https://img.a.transfermarkt.technology/portrait/medium/22001-1677440655.jpg?lm=1,38
Gian Piero Ventura,1948-01-14,Head Coach,Italy,https://img.a.transfermarkt.technology/portrait/medium/3109-1410334627.jpg?lm=1,68
Eusebio Di Francesco,1969-09-08,Head Coach,Italy,https://img.a.transfermarkt.technology/portrait/medium/12924-1631177386.jpg?lm=1,46
Maurizio Sarri,1959-01-10,Head Coach,Italy,https://img.a.transfermarkt.technology/portrait/medium/10073-1595575468.jpg?lm=1,57
Walter Zenga,1960-04-28,Head Coach,Italy,https://img.a.transfermarkt.technology/portrait/medium/1799-1585577148.jpg?lm=1,56
Fabrizio Castori,1954-07-11,Head Coach,Italy,https://img.a.transfermarkt.technology/portrait/medium/2126-1677440859.jpg?lm=1,61
Giuseppe Iachini,1964-05-07,Head Coach,Italy,https://img.a.transfermarkt.technology/portrait/medium/2132-1584712251.jpg?lm=1,52
Gian Piero Gasperini,1958-01-26,Head Coach,Italy,https://img.a.transfermarkt.technology/portrait/medium/3436-1663862210.jpg?lm=1,58
Roberto Mancini,1964-11-27,Head Coach,Italy,https://img.a.transfermarkt.technology/portrait/medium/524-1496325156.jpg?lm=1,51
Edoardo Reja,1945-10-10,Head Coach,Italy,https://img.a.transfermarkt.technology/portrait/medium/_1378285120.jpg?lm=1,70
Paulo Manuel Carvalho de Sousa,1970-08-30,Head Coach,Portugal,https://img.a.transfermarkt.technology/portrait/medium/8369-1677438727.jpg?lm=1,45
Siniša Mihajlović,1969-02-20,Head Coach,Serbia,https://img.a.transfermarkt.technology/portrait/medium/3896-1671200327.jpg?lm=1,47
Andrea Mandorlini,1960-07-17,Head Coach,Italy,https://img.a.transfermarkt.technology/portrait/medium/1294-1691387694.png?lm=1,55
Giuseppe Sannino,1957-04-30,Head Coach,Italy,https://img.a.transfermarkt.technology/portrait/medium/12913-1570639351.jpg?lm=1,59
Roberto Donadoni,1963-09-09,Head Coach,Italy,https://img.a.transfermarkt.technology/portrait/medium/2047-1527173637.jpg?lm=1,52
Vincenzo Montella,1974-06-18,Head Coach,Italy,https://img.a.transfermarkt.technology/portrait/medium/11795-1718177528.jpg?lm=1,42
Davide Ballardini,1964-01-06,Head Coach,Italy,https://img.a.transfermarkt.technology/portrait/medium/3793-1631177487.jpg?lm=1,52
Luigi Delneri,1950-08-23,Head Coach,Italy,https://img.a.transfermarkt.technology/portrait/medium/528-1491570202.jpg?lm=1,65
Fabio Viviani,1966-09-29,Head Coach,Italy,https://img.a.transfermarkt.technology/portrait/header/_1366118013.jpg?lm=1,49
Giovanni Tedesco,1972-05-13,Head Coach,Italy,https://img.a.transfermarkt.technology/portrait/medium/16908-1455100729.jpg?lm=1,44
Walter Novellino,1953-06-04,Head Coach,Italy,https://img.a.transfermarkt.technology/portrait/medium/515-1410185327.jpg?lm=1,63
Luigi De Canio,1957-09-26,Head Coach,Italy,https://img.a.transfermarkt.technology/portrait/medium/_1389867128.jpg?lm=1,58
Simone Inzaghi,1976-04-05,Head Coach,Italy,https://img.a.transfermarkt.technology/portrait/medium/21624-1663979865.jpg?lm=1,40
Cristian Brocchi,1976-01-30,Head Coach,Italy,https://img.a.transfermarkt.technology/portrait/medium/35229-1580887734.jpg?lm=1,40
